user_id,usage_date,days_since_usage,churn_flag,engagement_level,device,usage_category,assistant_model,session_length_minutes,session_quality,prompt_length,tokens_used,satisfaction_rating,data_collection_year,data_collection_month,analysis_date,days_since_usage_OLD,churn_flag_OLD
u001,31-01-2024,734,1,Lost (>365d),Desktop,Education,GPT-5.1,7.08,Normal,14,44,5,2024,January,2026-02-03,299,1
u002,01-02-2024,733,1,Lost (>365d),Mobile,Daily Tasks,GPT-4o,13.07,Normal,32,1047,2,2024,February,2026-02-03,298,1
u003,02-02-2024,732,1,Lost (>365d),Smart Speaker,Education,GPT-4o,10.15,Normal,236,1379,4,2024,February,2026-02-03,297,1
u004,03-02-2024,731,1,Lost (>365d),Smart Speaker,Productivity,GPT-5,14.45,Normal,98,1105,1,2024,February,2026-02-03,296,1
u005,04-02-2024,730,1,Lost (>365d),Smart Speaker,Research,GPT-5.1,4.5,Normal,220,107,5,2024,February,2026-02-03,295,1
u006,05-02-2024,729,1,Lost (>365d),Smart Speaker,Coding,GPT-5.1,8.01,Normal,245,598,2,2024,February,2026-02-03,294,1
u007,06-02-2024,728,1,Lost (>365d),Desktop,Entertainment,o1,9.46,Normal,214,1387,4,2024,February,2026-02-03,293,1
u008,07-02-2024,727,1,Lost (>365d),Mobile,Research,o1,6.96,Normal,34,956,2,2024,February,2026-02-03,292,1
u009,08-02-2024,726,1,Lost (>365d),Smart Speaker,Coding,GPT-5,7.12,Normal,201,1155,2,2024,February,2026-02-03,291,1
u010,09-02-2024,725,1,Lost (>365d),Tablet,Coding,GPT-4o,12.54,Normal,108,589,5,2024,February,2026-02-03,290,1
u011,10-02-2024,724,1,Lost (>365d),Tablet,Writing,GPT-5.1,10.93,Normal,134,989,5,2024,February,2026-02-03,289,1
u012,11-02-2024,723,1,Lost (>365d),Smart Speaker,Research,Mini,5.7,Normal,56,1357,2,2024,February,2026-02-03,288,1
u013,12-02-2024,722,1,Lost (>365d),Mobile,Entertainment,GPT-4o,1.11,Normal,237,945,3,2024,February,2026-02-03,287,1
